	GNGGA_Time	GNGGA_Altitude	GNGGA_Fix_Q	GNRMC_Speed	GNRMC_Course	GNRMC_Time	GNRMC_Date	GPGSA_Mode1	GPGSA_Mode2	GPGSA_Satellites_Used	GPGSA_No_Satellites	GPGSA_PDOP	GPGSA_HDOP	GPGSA_VDOP	GPGSV_Num_Sentences	GPGSV_Sentence_Number	GPGSV_Satellites_in_View
0		None M	0					A	1		1						
1		None M	0					A	1		1						
2		None M	0					A	1		1						
3		None M	0					A	1		1						
4		None M	0					A	1		1						
5		None M	0					A	1		1						
6		None M	0					A	1		1						
7		None M	0					A	1		1						
8		None M	0					A	1		1						
9		None M	0					A	1		1						
10		None M	0					A	1		1						
11		None M	0					A	1		1						
12		None M	0					A	1		1						
13		None M	0					A	1		1						
14		None M	0					A	1		1						
15		None M	0					A	1		1						
16		None M	0					A	1		1						
17		None M	0					A	1		1						
18		None M	0					A	1		1						
19		None M	0					A	1		1						
20		None M	0					A	1		1						
21		None M	0				2024-06-16	A	1		1						
22		None M	0				2024-06-16	A	1		1						
23		None M	0				2024-06-16	A	1		1						
24		None M	0				2024-06-16	A	1		1						
25		None M	0				2024-06-16	A	1		1						
26	15:11:50.033000+00:00	None M	0				2024-06-19	A	1		1						
27	15:11:51.033000+00:00	None M	0			15:11:50.033000+00:00	2024-06-19	A	1		1						
28	15:11:52.033000+00:00	None M	0			15:11:51.033000+00:00	2024-06-19	A	1		1						
29	15:11:53.033000+00:00	None M	0			15:11:52.033000+00:00	2024-06-19	A	1		1						
30	15:11:54.033000+00:00	None M	0			15:11:53.033000+00:00	2024-06-19	A	1		1						
31	15:11:55.033000+00:00	None M	0			15:11:54.033000+00:00	2024-06-19	A	1		1						
32	15:11:56.033000+00:00	None M	0			15:11:55.033000+00:00	2024-06-19	A	1		1						
33	15:11:57.033000+00:00	None M	0			15:11:56.033000+00:00	2024-06-19	A	1		1						
34	15:11:58.033000+00:00	None M	0			15:11:57.033000+00:00	2024-06-19	A	1		1						
35	15:11:59.033000+00:00	None M	0			15:11:58.033000+00:00	2024-06-19	A	1		1						
36	15:12:00.033000+00:00	None M	0			15:11:59.033000+00:00	2024-06-19	A	1		1						
37	15:12:01.033000+00:00	None M	0			15:12:00.033000+00:00	2024-06-19	A	1		1						
38	15:12:02.033000+00:00	None M	0			15:12:01.033000+00:00	2024-06-19	A	1		1						
39	15:12:03.033000+00:00	None M	0			15:12:02.033000+00:00	2024-06-19	A	1		1						
40	15:12:04.033000+00:00	None M	0			15:12:03.033000+00:00	2024-06-19	A	1		1						
41	15:12:05.033000+00:00	None M	0			15:12:04.033000+00:00	2024-06-19	A	1		1						
42	15:12:06.033000+00:00	None M	0			15:12:05.033000+00:00	2024-06-19	A	1		1						
43	15:12:07.033000+00:00	None M	0			15:12:06.033000+00:00	2024-06-19	A	1		1						
44	15:12:08.033000+00:00	None M	0			15:12:07.033000+00:00	2024-06-19	A	1		1						
45	15:12:09.033000+00:00	None M	0			15:12:08.033000+00:00	2024-06-19	A	1		1						
46	15:12:10.033000+00:00	None M	0			15:12:09.033000+00:00	2024-06-19	A	1		1						
47	15:12:11.033000+00:00	None M	0			15:12:10.033000+00:00	2024-06-19	A	1		1						
48	15:12:12.033000+00:00	None M	0			15:12:11.033000+00:00	2024-06-19	A	1		1						
49	15:12:13.033000+00:00	None M	0			15:12:12.033000+00:00	2024-06-19	A	1		1						
50	15:12:14.033000+00:00	None M	0			15:12:13.033000+00:00	2024-06-19	A	1		1						
51	15:12:15.033000+00:00	None M	0			15:12:14.033000+00:00	2024-06-19	A	1		1						
52	15:12:16.033000+00:00	None M	0			15:12:15.033000+00:00	2024-06-19	A	1		1						
53	15:12:17.033000+00:00	None M	0			15:12:16.033000+00:00	2024-06-19	A	1		1						
54	15:12:18.033000+00:00	None M	0			15:12:17.033000+00:00	2024-06-19	A	1		1						
55	15:12:19.033000+00:00	None M	0			15:12:18.033000+00:00	2024-06-19	A	1		1						
56	15:12:20.033000+00:00	None M	0			15:12:19.033000+00:00	2024-06-19	A	1		1						
57	15:12:21.033000+00:00	None M	0			15:12:20.033000+00:00	2024-06-19	A	1		1						
58	15:12:22.033000+00:00	None M	0			15:12:21.033000+00:00	2024-06-19	A	1		1						
59	15:12:23.033000+00:00	None M	0			15:12:22.033000+00:00	2024-06-19	A	1		1						
60	15:12:24.033000+00:00	None M	0			15:12:23.033000+00:00	2024-06-19	A	1		1						
61	15:12:25.033000+00:00	None M	0			15:12:24.033000+00:00	2024-06-19	A	1		1						
62	15:12:26.544000+00:00	None M	0			15:12:25.033000+00:00	2024-06-19	A	1		1						
63	15:12:27.544000+00:00	None M	0			15:12:26.544000+00:00	2024-06-19	A	1		1						
64	15:12:28.544000+00:00	None M	0			15:12:27.544000+00:00	2024-06-19	A	1		1						
65	15:12:29.544000+00:00	None M	0			15:12:28.544000+00:00	2024-06-19	A	1		1						
66	15:12:30.544000+00:00	61.1 M	1			15:12:29.544000+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
67	15:12:31.044000+00:00	61.2 M	1	0	0	15:12:30.544000+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
68	15:12:32.024000+00:00	61.2 M	1	0	0	15:12:31.044000+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
69	15:12:33.004000+00:00	61.2 M	1	0	0	15:12:32.024000+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
70	15:12:34+00:00	61.1 M	1	0	0	15:12:33.004000+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
71	15:12:35+00:00	61.1 M	1	0.001	0	15:12:34+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
72	15:12:36+00:00	61.1 M	1	0	0	15:12:35+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
73	15:12:37+00:00	61.1 M	1	0	0	15:12:36+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
74	15:12:38+00:00	61.1 M	1	0.001	0	15:12:37+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
75	15:12:39+00:00	61.1 M	1	0.001	0	15:12:38+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
76	15:12:40+00:00	61.1 M	1	0.001	0	15:12:39+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
77	15:12:41+00:00	61.1 M	1	0	0	15:12:40+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
78	15:12:42+00:00	61.1 M	1	0.001	0	15:12:41+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
79	15:12:43+00:00	61.1 M	1	0	0	15:12:42+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
80	15:12:44+00:00	61.1 M	1	0	0	15:12:43+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
81	15:12:45+00:00	61.1 M	1	0	0	15:12:44+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
82	15:12:46+00:00	61.1 M	1	0.001	0	15:12:45+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
83	15:12:47+00:00	61.1 M	1	0	0	15:12:46+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
84	15:12:48+00:00	61.1 M	1	0	0	15:12:47+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
85	15:12:49+00:00	61.6 M	1	0	0	15:12:48+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
86	15:12:50+00:00	61.9 M	1	0	0	15:12:49+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
87	15:12:51+00:00	62.0 M	1	0	0	15:12:50+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
88	15:12:52+00:00	62.0 M	1	0	0	15:12:51+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
89	15:12:53+00:00	62.1 M	1	0.001	0	15:12:52+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
90	15:12:54+00:00	62.1 M	1	0.001	0	15:12:53+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
91	15:12:55+00:00	62.2 M	1	0	0	15:12:54+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
92	15:12:56+00:00	62.3 M	1	0	0	15:12:55+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
93	15:12:57+00:00	62.4 M	1	0.001	0	15:12:56+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
